id,prompt,expected,actual
15,"Extract info: ArcNode-15, FinTech, Singapore, founded 1993, 903 employees, $76.5M revenue.","{""company"": ""ArcNode-15"", ""city"": ""Singapore"", ""industry"": ""FinTech"", ""founded"": 1993, ""employees"": 903, ""revenue_m"": 76.5}","{""company"": ""ArcNode-15"", ""city"": ""Singapore"", ""industry"": ""FinTech"", ""founded"": 1993, ""employees"": 903, ""revenue_m"": 76.5}"
16,"Extract info: CoreStack-16, IoT, San Francisco, founded 2014, 4886 employees, $498.1M revenue.","{""company"": ""CoreStack-16"", ""city"": ""San Francisco"", ""industry"": ""IoT"", ""founded"": 2014, ""employees"": 4886, ""revenue_m"": 498.1}","{""company"": ""CoreStack-16"", ""city"": ""San Francisco"", ""industry"": ""IoT"", ""founded"": 2014, ""employees"": 4886, ""revenue_m"": 498.1}"
17,"Extract info: ArcNode-17, FinTech, New York, founded 2024, 2190 employees, $384.3M revenue.","{""company"": ""ArcNode-17"", ""city"": ""New York"", ""industry"": ""FinTech"", ""founded"": 2024, ""employees"": 2190, ""revenue_m"": 384.3}","{""company"": ""ArcNode-17"", ""city"": ""New York"", ""industry"": ""FinTech"", ""founded"": 2024, ""employees"": 2190, ""revenue_m"": 384.3}"
18,"Extract info: NetPulse-18, HealthTech, Toronto, founded 2019, 31 employees, $476.9M revenue.","{""company"": ""NetPulse-18"", ""city"": ""Toronto"", ""industry"": ""HealthTech"", ""founded"": 2019, ""employees"": 31, ""revenue_m"": 476.9}","{""company"": ""NetPulse-18"", ""city"": ""Toronto"", ""industry"": ""HealthTech"", ""founded"": 2019, ""employees"": 31, ""revenue_m"": 476.9, ""ceo"": ""John Doe""}"
19,"Extract info: NetPulse-19, FinTech, London, founded 2009, 4163 employees, $304.5M revenue.","{""company"": ""NetPulse-19"", ""city"": ""London"", ""industry"": ""FinTech"", ""founded"": 2009, ""employees"": 4163, ""revenue_m"": 304.5}","{""company"": ""NetPulse-19"", ""city"": ""London"", ""industry"": ""FinTech"", ""founded"": 2009, ""employees"": 4163, ""revenue_m"": 304.5}"
20,"Extract info: DataSync-20, Cybersecurity, New York, founded 2021, 164 employees, $56.0M revenue.","{""company"": ""DataSync-20"", ""city"": ""New York"", ""industry"": ""Cybersecurity"", ""founded"": 2021, ""employees"": 164, ""revenue_m"": 56.0}","{""company"": ""DataSync-20"", ""city"": ""New York"", ""industry"": ""Cybersecurity"", ""founded"": 2021, ""employees"": 164, ""revenue_m"": 56.0}"
21,"Extract info: NetPulse-21, SaaS, Tokyo, founded 2005, 4652 employees, $473.5M revenue.","{""company"": ""NetPulse-21"", ""city"": ""Tokyo"", ""industry"": ""SaaS"", ""founded"": 2005, ""employees"": 4652, ""revenue_m"": 473.5}","{""company"": ""NetPulse-21"", ""city"": ""Tokyo"", ""industry"": ""SaaS"", ""founded"": 2005, ""employees"": 4652, ""revenue_m"": 473.5}"
22,"Extract info: VoltGrid-22, HealthTech, San Francisco, founded 1998, 3898 employees, $473.4M revenue.","{""company"": ""VoltGrid-22"", ""city"": ""San Francisco"", ""industry"": ""HealthTech"", ""founded"": 1998, ""employees"": 3898, ""revenue_m"": 473.4}","{""company"": ""VoltGrid-22"", ""city"": ""San Francisco"", ""industry"": ""HealthTech"", ""founded"": 1998, ""employees"": 3898, ""revenue_m"": 473.4}"
23,"Extract info: ArcNode-23, EdTech, Toronto, founded 2024, 1652 employees, $356.5M revenue.","{""company"": ""ArcNode-23"", ""city"": ""Toronto"", ""industry"": ""EdTech"", ""founded"": 2024, ""employees"": 1652, ""revenue_m"": 356.5}","{""company"": ""ArcNode-23"", ""city"": ""Toronto"", ""industry"": ""EdTech"", ""founded"": 2024, ""employees"": 1652, ""revenue_m"": 356.5}"
24,"Extract info: ByteShift-24, Robotics, Singapore, founded 1997, 2035 employees, $112.4M revenue.","{""company"": ""ByteShift-24"", ""city"": ""Singapore"", ""industry"": ""Robotics"", ""founded"": 1997, ""employees"": 2035, ""revenue_m"": 112.4}","{""company"": ""ByteShift-24"", ""city"": ""Singapore"", ""industry"": ""Robotics"", ""founded"": 1997, ""employees"": 2035, ""revenue_m"": 112.4}"
25,"Extract info: PrismAI-25, EdTech, Tokyo, founded 1990, 586 employees, $353.9M revenue.","{""company"": ""PrismAI-25"", ""city"": ""Tokyo"", ""industry"": ""EdTech"", ""founded"": 1990, ""employees"": 586, ""revenue_m"": 353.9}","{""company"": ""PrismAI-25"", ""city"": ""Tokyo"", ""industry"": ""EdTech"", ""founded"": 1990, ""employees"": 586, ""revenue_m"": 353.9}"
26,"Extract info: TechFlow-26, Cybersecurity, New York, founded 1994, 4216 employees, $119.1M revenue.","{""company"": ""TechFlow-26"", ""city"": ""New York"", ""industry"": ""Cybersecurity"", ""founded"": 1994, ""employees"": 4216, ""revenue_m"": 119.1}","{""company"": ""TechFlow-26"", ""city"": ""London"", ""industry"": ""Cybersecurity"", ""founded"": 1994, ""employees"": 4216, ""revenue_m"": 119.1}"
27,"Extract info: ArcNode-27, Robotics, London, founded 2005, 3879 employees, $403.8M revenue.","{""company"": ""ArcNode-27"", ""city"": ""London"", ""industry"": ""Robotics"", ""founded"": 2005, ""employees"": 3879, ""revenue_m"": 403.8}","{""company"": ""ArcNode-27"", ""city"": ""London"", ""industry"": ""Robotics"", ""founded"": 2005, ""employees"": 3879, ""revenue_m"": 403.8}"
28,"Extract info: TechFlow-28, Cybersecurity, Toronto, founded 2017, 3372 employees, $233.6M revenue.","{""company"": ""TechFlow-28"", ""city"": ""Toronto"", ""industry"": ""Cybersecurity"", ""founded"": 2017, ""employees"": 3372, ""revenue_m"": 233.6}","{""company"": ""TechFlow-28"", ""city"": ""Sydney"", ""industry"": ""Cybersecurity"", ""founded"": 2017, ""employees"": 3372, ""revenue_m"": 233.6}"
29,"Extract info: TechFlow-29, IoT, New York, founded 2011, 900 employees, $124.4M revenue.","{""company"": ""TechFlow-29"", ""city"": ""New York"", ""industry"": ""IoT"", ""founded"": 2011, ""employees"": 900, ""revenue_m"": 124.4}","{""company"": ""TechFlow-29"", ""city"": ""New York"", ""industry"": ""IoT"", ""founded"": 2011, ""employees"": 900, ""revenue_m"": 124.4}"
30,"Extract info: VoltGrid-30, IoT, London, founded 2001, 2286 employees, $231.4M revenue.","{""company"": ""VoltGrid-30"", ""city"": ""London"", ""industry"": ""IoT"", ""founded"": 2001, ""employees"": 2286, ""revenue_m"": 231.4}","{""company"": ""VoltGrid-30"", ""city"": ""London"", ""industry"": ""IoT"", ""founded"": 2001, ""employees"": 2286, ""revenue_m"": 231.4, ""ceo"": ""John Doe""}"
31,"Extract info: TechFlow-31, FinTech, Singapore, founded 1993, 4433 employees, $418.0M revenue.","{""company"": ""TechFlow-31"", ""city"": ""Singapore"", ""industry"": ""FinTech"", ""founded"": 1993, ""employees"": 4433, ""revenue_m"": 418.0}",Error: extraction failed
32,"Extract info: CloudNine-32, IoT, London, founded 2021, 3948 employees, $107.0M revenue.","{""company"": ""CloudNine-32"", ""city"": ""London"", ""industry"": ""IoT"", ""founded"": 2021, ""employees"": 3948, ""revenue_m"": 107.0}","{""company"": ""CloudNine-32"", ""city"": ""London"", ""industry"": ""IoT"", ""founded"": 2021, ""employees"": 3948, ""revenue_m"": 107.0}"
33,"Extract info: Acme-33, IoT, London, founded 1990, 3203 employees, $132.7M revenue.","{""company"": ""Acme-33"", ""city"": ""London"", ""industry"": ""IoT"", ""founded"": 1990, ""employees"": 3203, ""revenue_m"": 132.7}","{""company"": ""Acme-33"", ""city"": ""London"", ""industry"": ""IoT"", ""founded"": ""1990"", ""employees"": 3203, ""revenue_m"": 132.7}"
34,"Extract info: VoltGrid-34, IoT, Berlin, founded 2021, 1273 employees, $95.0M revenue.","{""company"": ""VoltGrid-34"", ""city"": ""Berlin"", ""industry"": ""IoT"", ""founded"": 2021, ""employees"": 1273, ""revenue_m"": 95.0}","{""company"": ""VoltGrid-34"", ""city"": ""Berlin"", ""industry"": ""IoT"", ""founded"": 2021, ""employees"": 1273, ""revenue_m"": 95.0}"
35,"Extract info: Acme-35, Cybersecurity, New York, founded 1993, 415 employees, $292.1M revenue.","{""company"": ""Acme-35"", ""city"": ""New York"", ""industry"": ""Cybersecurity"", ""founded"": 1993, ""employees"": 415, ""revenue_m"": 292.1}","{""company"": ""Acme-35"", ""city"": ""New York"", ""industry"": ""Cybersecurity"", ""founded"": 1993, ""employees"": 415, ""revenue_m"": 292.1}"
36,"Extract info: ArcNode-36, SaaS, London, founded 2022, 661 employees, $425.7M revenue.","{""company"": ""ArcNode-36"", ""city"": ""London"", ""industry"": ""SaaS"", ""founded"": 2022, ""employees"": 661, ""revenue_m"": 425.7}","{""company"": ""ArcNode-36"", ""city"": ""London"", ""industry"": ""SaaS"", ""founded"": 2022, ""employees"": 661, ""revenue_m"": 425.7}"
37,"Extract info: TechFlow-37, IoT, Tokyo, founded 1997, 4671 employees, $123.2M revenue.","{""company"": ""TechFlow-37"", ""city"": ""Tokyo"", ""industry"": ""IoT"", ""founded"": 1997, ""employees"": 4671, ""revenue_m"": 123.2}","{""company"": ""TechFlow #37"", ""city"": ""Tokyo"", ""industry"": ""IoT"", ""founded"": 1997, ""employees"": 4671, ""revenue_m"": 123.2}"
38,"Extract info: PrismAI-38, IoT, San Francisco, founded 2023, 2596 employees, $467.4M revenue.","{""company"": ""PrismAI-38"", ""city"": ""San Francisco"", ""industry"": ""IoT"", ""founded"": 2023, ""employees"": 2596, ""revenue_m"": 467.4}","{""company"": ""PrismAI-38"", ""city"": ""San Francisco"", ""industry"": ""IoT"", ""founded"": 2023, ""employees"": 2596, ""revenue_m"": 467.4}"
39,"Extract info: ByteShift-39, AI/ML, Tokyo, founded 2015, 1077 employees, $335.9M revenue.","{""company"": ""ByteShift-39"", ""city"": ""Tokyo"", ""industry"": ""AI/ML"", ""founded"": 2015, ""employees"": 1077, ""revenue_m"": 335.9}","{""company"": ""ByteShift-39"", ""city"": ""Tokyo"", ""industry"": ""AI/ML"", ""founded"": 2015, ""employees"": 1077, ""revenue_m"": 335.9}"
40,"Extract info: ByteShift-40, SaaS, San Francisco, founded 2019, 4617 employees, $498.0M revenue.","{""company"": ""ByteShift-40"", ""city"": ""San Francisco"", ""industry"": ""SaaS"", ""founded"": 2019, ""employees"": 4617, ""revenue_m"": 498.0}","{""company"": ""ByteShift-40"", ""city"": ""San Francisco"", ""industry"": ""SaaS"", ""founded"": 2019, ""employees"": 4617, ""revenue_m"": 498.0}"
41,"Extract info: CloudNine-41, HealthTech, Berlin, founded 2012, 568 employees, $439.6M revenue.","{""company"": ""CloudNine-41"", ""city"": ""Berlin"", ""industry"": ""HealthTech"", ""founded"": 2012, ""employees"": 568, ""revenue_m"": 439.6}","{""company"": ""CloudNine-41"", ""city"": ""Berlin"", ""industry"": ""HealthTech"", ""founded"": 2012, ""employees"": 568, ""revenue_m"": 439.6}"
42,"Extract info: DataSync-42, AI/ML, Singapore, founded 2023, 69 employees, $334.0M revenue.","{""company"": ""DataSync-42"", ""city"": ""Singapore"", ""industry"": ""AI/ML"", ""founded"": 2023, ""employees"": 69, ""revenue_m"": 334.0}","{""company"": ""DataSync #42"", ""city"": ""Singapore"", ""industry"": ""AI/ML"", ""founded"": 2023, ""employees"": 69, ""revenue_m"": 334.0}"
43,"Extract info: TechFlow-43, AI/ML, London, founded 1997, 881 employees, $371.2M revenue.","{""company"": ""TechFlow-43"", ""city"": ""London"", ""industry"": ""AI/ML"", ""founded"": 1997, ""employees"": 881, ""revenue_m"": 371.2}","{""company"": ""TechFlow-43"", ""city"": ""London"", ""industry"": ""AI/ML"", ""founded"": 1997, ""employees"": 881, ""revenue_m"": 371.2}"
44,"Extract info: NetPulse-44, Cybersecurity, Tokyo, founded 2003, 2167 employees, $252.8M revenue.","{""company"": ""NetPulse-44"", ""city"": ""Tokyo"", ""industry"": ""Cybersecurity"", ""founded"": 2003, ""employees"": 2167, ""revenue_m"": 252.8}","{""company"": ""NetPulse-44"", ""city"": ""Tokyo"", ""industry"": ""Cybersecurity"", ""founded"": 2003, ""employees"": 2167, ""revenue_m"": 252.8}"
45,"Extract info: Acme-45, IoT, San Francisco, founded 2007, 366 employees, $1.9M revenue.","{""company"": ""Acme-45"", ""city"": ""San Francisco"", ""industry"": ""IoT"", ""founded"": 2007, ""employees"": 366, ""revenue_m"": 1.9}","{""company"": ""Acme-45"", ""city"": ""San Francisco"", ""industry"": ""IoT"", ""founded"": ""2007"", ""employees"": 366, ""revenue_m"": 1.9}"
46,"Extract info: NetPulse-46, Robotics, London, founded 2017, 4599 employees, $4.9M revenue.","{""company"": ""NetPulse-46"", ""city"": ""London"", ""industry"": ""Robotics"", ""founded"": 2017, ""employees"": 4599, ""revenue_m"": 4.9}","{""company"": ""NetPulse-46"", ""city"": ""London"", ""industry"": ""Robotics"", ""founded"": 2017, ""employees"": 4599, ""revenue_m"": 4.9}"
47,"Extract info: DataSync-47, Cybersecurity, New York, founded 1999, 3525 employees, $63.8M revenue.","{""company"": ""DataSync-47"", ""city"": ""New York"", ""industry"": ""Cybersecurity"", ""founded"": 1999, ""employees"": 3525, ""revenue_m"": 63.8}","{""company"": ""DataSync-47"", ""city"": ""New York"", ""industry"": ""Cybersecurity"", ""founded"": 1999, ""employees"": 3525, ""revenue_m"": 63.8}"
48,"Extract info: Acme-48, EdTech, Sydney, founded 2005, 847 employees, $176.9M revenue.","{""company"": ""Acme-48"", ""city"": ""Sydney"", ""industry"": ""EdTech"", ""founded"": 2005, ""employees"": 847, ""revenue_m"": 176.9}","{""company"": ""Acme #48"", ""city"": ""Sydney"", ""industry"": ""EdTech"", ""founded"": 2005, ""employees"": 847, ""revenue_m"": 176.9}"
49,"Extract info: CoreStack-49, EdTech, London, founded 2000, 1455 employees, $440.7M revenue.","{""company"": ""CoreStack-49"", ""city"": ""London"", ""industry"": ""EdTech"", ""founded"": 2000, ""employees"": 1455, ""revenue_m"": 440.7}","{""company"": ""CoreStack-49"", ""city"": ""London"", ""industry"": ""EdTech"", ""founded"": 2000, ""employees"": 1455, ""revenue_m"": 440.7}"
50,"Extract info: ByteShift-50, EdTech, Toronto, founded 2007, 1309 employees, $393.7M revenue.","{""company"": ""ByteShift-50"", ""city"": ""Toronto"", ""industry"": ""EdTech"", ""founded"": 2007, ""employees"": 1309, ""revenue_m"": 393.7}","{""company"": ""ByteShift-50"", ""city"": ""Toronto"", ""industry"": ""EdTech"", ""founded"": 2007, ""employees"": 1309, ""revenue_m"": 393.7}"
51,"Extract info: Acme-51, EdTech, Singapore, founded 2002, 3775 employees, $174.9M revenue.","{""company"": ""Acme-51"", ""city"": ""Singapore"", ""industry"": ""EdTech"", ""founded"": 2002, ""employees"": 3775, ""revenue_m"": 174.9}","{""company"": ""Acme-51"", ""city"": ""Singapore"", ""industry"": ""EdTech"", ""founded"": 2002, ""employees"": 3775}"
52,"Extract info: CloudNine-52, SaaS, Tokyo, founded 2002, 3269 employees, $164.2M revenue.","{""company"": ""CloudNine-52"", ""city"": ""Tokyo"", ""industry"": ""SaaS"", ""founded"": 2002, ""employees"": 3269, ""revenue_m"": 164.2}","{""company"": ""CloudNine-52"", ""city"": ""Tokyo"", ""industry"": ""SaaS"", ""founded"": 2002, ""employees"": 3269, ""revenue_m"": 164.2, ""ceo"": ""John Doe""}"
53,"Extract info: NetPulse-53, IoT, Sydney, founded 2024, 2717 employees, $469.6M revenue.","{""company"": ""NetPulse-53"", ""city"": ""Sydney"", ""industry"": ""IoT"", ""founded"": 2024, ""employees"": 2717, ""revenue_m"": 469.6}","{""company"": ""NetPulse-53"", ""city"": ""Sydney"", ""industry"": ""IoT"", ""founded"": 2024, ""employees"": 2717, ""revenue_m"": 469.6}"
54,"Extract info: NetPulse-54, AI/ML, London, founded 1992, 893 employees, $298.3M revenue.","{""company"": ""NetPulse-54"", ""city"": ""London"", ""industry"": ""AI/ML"", ""founded"": 1992, ""employees"": 893, ""revenue_m"": 298.3}","{""company"": ""NetPulse-54"", ""city"": ""London"", ""industry"": ""AI/ML"", ""founded"": 1992, ""employees"": 893, ""revenue_m"": 298.3}"
55,"Extract info: ByteShift-55, FinTech, Toronto, founded 2014, 4728 employees, $95.1M revenue.","{""company"": ""ByteShift-55"", ""city"": ""Toronto"", ""industry"": ""FinTech"", ""founded"": 2014, ""employees"": 4728, ""revenue_m"": 95.1}","{""company"": ""ByteShift-55"", ""city"": ""Toronto"", ""industry"": ""FinTech"", ""founded"": 2014, ""employees"": 4728, ""revenue_m"": 95.1}"
56,"Extract info: CoreStack-56, EdTech, New York, founded 2013, 3538 employees, $35.1M revenue.","{""company"": ""CoreStack-56"", ""city"": ""New York"", ""industry"": ""EdTech"", ""founded"": 2013, ""employees"": 3538, ""revenue_m"": 35.1}","{""company"": ""CoreStack-56"", ""city"": ""Tokyo"", ""industry"": ""EdTech"", ""founded"": 2013, ""employees"": 3538, ""revenue_m"": 35.1}"
57,"Extract info: PrismAI-57, FinTech, Sydney, founded 2009, 4159 employees, $154.7M revenue.","{""company"": ""PrismAI-57"", ""city"": ""Sydney"", ""industry"": ""FinTech"", ""founded"": 2009, ""employees"": 4159, ""revenue_m"": 154.7}","{""company"": ""PrismAI-57"", ""city"": ""Sydney"", ""industry"": ""FinTech"", ""founded"": 2009, ""employees"": 4159, ""revenue_m"": 154.7}"
58,"Extract info: CoreStack-58, HealthTech, Berlin, founded 2002, 3449 employees, $332.5M revenue.","{""company"": ""CoreStack-58"", ""city"": ""Berlin"", ""industry"": ""HealthTech"", ""founded"": 2002, ""employees"": 3449, ""revenue_m"": 332.5}","{""company"": ""CoreStack-58"", ""city"": ""Berlin"", ""industry"": ""HealthTech"", ""founded"": 2002, ""employees"": 3449, ""revenue_m"": 332.5}"
59,"Extract info: DataSync-59, IoT, Berlin, founded 1990, 2494 employees, $143.5M revenue.","{""company"": ""DataSync-59"", ""city"": ""Berlin"", ""industry"": ""IoT"", ""founded"": 1990, ""employees"": 2494, ""revenue_m"": 143.5}","{""company"": ""DataSync-59"", ""city"": ""Berlin"", ""industry"": ""IoT"", ""founded"": 1990, ""employees"": 2494, ""revenue_m"": 143.5}"
60,"Extract info: PrismAI-60, Robotics, Sydney, founded 2018, 3627 employees, $337.8M revenue.","{""company"": ""PrismAI-60"", ""city"": ""Sydney"", ""industry"": ""Robotics"", ""founded"": 2018, ""employees"": 3627, ""revenue_m"": 337.8}","{""company"": ""PrismAI-60"", ""city"": ""Sydney"", ""industry"": ""Robotics"", ""founded"": 2018, ""employees"": 3627, ""revenue_m"": 337.8}"
61,"Extract info: DataSync-61, AI/ML, San Francisco, founded 2022, 2750 employees, $46.8M revenue.","{""company"": ""DataSync-61"", ""city"": ""San Francisco"", ""industry"": ""AI/ML"", ""founded"": 2022, ""employees"": 2750, ""revenue_m"": 46.8}",Error: extraction failed
62,"Extract info: CloudNine-62, EdTech, Berlin, founded 2002, 1212 employees, $12.3M revenue.","{""company"": ""CloudNine-62"", ""city"": ""Berlin"", ""industry"": ""EdTech"", ""founded"": 2002, ""employees"": 1212, ""revenue_m"": 12.3}","{""company"": ""CloudNine-62"", ""city"": ""Berlin"", ""industry"": ""EdTech"", ""founded"": 2002, ""employees"": 1212, ""revenue_m"": 12.3}"
63,"Extract info: VoltGrid-63, Robotics, San Francisco, founded 2016, 4720 employees, $97.3M revenue.","{""company"": ""VoltGrid-63"", ""city"": ""San Francisco"", ""industry"": ""Robotics"", ""founded"": 2016, ""employees"": 4720, ""revenue_m"": 97.3}","{""company"": ""VoltGrid-63"", ""city"": ""Berlin"", ""industry"": ""Robotics"", ""founded"": 2016, ""employees"": 4720, ""revenue_m"": 97.3}"
64,"Extract info: CoreStack-64, HealthTech, Tokyo, founded 1990, 878 employees, $389.2M revenue.","{""company"": ""CoreStack-64"", ""city"": ""Tokyo"", ""industry"": ""HealthTech"", ""founded"": 1990, ""employees"": 878, ""revenue_m"": 389.2}","{""company"": ""CoreStack-64"", ""city"": ""Tokyo"", ""industry"": ""HealthTech"", ""founded"": 1990, ""employees"": 878, ""revenue_m"": 389.2}"
65,"Extract info: ArcNode-65, SaaS, Singapore, founded 2005, 999 employees, $228.3M revenue.","{""company"": ""ArcNode-65"", ""city"": ""Singapore"", ""industry"": ""SaaS"", ""founded"": 2005, ""employees"": 999, ""revenue_m"": 228.3}","{""company"": ""ArcNode-65"", ""city"": ""Singapore"", ""industry"": ""SaaS"", ""founded"": 2005, ""employees"": 999}"
66,"Extract info: ArcNode-66, Robotics, Sydney, founded 2022, 3500 employees, $415.3M revenue.","{""company"": ""ArcNode-66"", ""city"": ""Sydney"", ""industry"": ""Robotics"", ""founded"": 2022, ""employees"": 3500, ""revenue_m"": 415.3}","{""company"": ""ArcNode-66"", ""city"": ""Sydney"", ""industry"": ""Robotics"", ""founded"": 2022, ""employees"": 3500, ""revenue_m"": 415.3}"
67,"Extract info: DataSync-67, Robotics, Singapore, founded 2006, 2030 employees, $419.9M revenue.","{""company"": ""DataSync-67"", ""city"": ""Singapore"", ""industry"": ""Robotics"", ""founded"": 2006, ""employees"": 2030, ""revenue_m"": 419.9}","{""company"": ""DataSync-67"", ""city"": ""Singapore"", ""industry"": ""Robotics"", ""founded"": 2006, ""employees"": 2030, ""revenue_m"": 419.9}"
68,"Extract info: ArcNode-68, EdTech, Singapore, founded 2007, 3608 employees, $38.8M revenue.","{""company"": ""ArcNode-68"", ""city"": ""Singapore"", ""industry"": ""EdTech"", ""founded"": 2007, ""employees"": 3608, ""revenue_m"": 38.8}","{""company"": ""ArcNode-68"", ""city"": ""Singapore"", ""industry"": ""EdTech"", ""founded"": 2007, ""employees"": 3608, ""revenue_m"": 38.8}"
69,"Extract info: NetPulse-69, Cybersecurity, Sydney, founded 2024, 665 employees, $69.3M revenue.","{""company"": ""NetPulse-69"", ""city"": ""Sydney"", ""industry"": ""Cybersecurity"", ""founded"": 2024, ""employees"": 665, ""revenue_m"": 69.3}","{""company"": ""NetPulse-69"", ""city"": ""Sydney"", ""industry"": ""Cybersecurity"", ""founded"": 2024, ""employees"": 665, ""revenue_m"": 69.3}"
